AccountID,CustomerID,AccountType,Balance,Currency,Status,BranchID,CreatedDate
1,342,Savings,152121,EUR,Closed,16,10/5/2022
2,560,Checking,3800,GBP,Active,16,10/10/2020
3,545,Checking,161180,EUR,Active,5,1/12/2023
4,688,Checking,131350,USD,Closed,2,2/14/2020
5,453,Savings,29661,GBP,Suspended,2,12/17/2023
6,326,Business,155309,GBP,Closed,14,8/5/2025
7,977,Checking,121737,EUR,Suspended,16,6/23/2021
8,547,Savings,104689,USD,Suspended,15,9/6/2023
9,654,Business,168486,EUR,Closed,2,5/6/2024
10,152,Checking,84708,USD,Closed,1,5/20/2021
11,927,Checking,10368,EUR,Suspended,11,3/31/2021
12,472,Savings,51449,USD,Closed,1,7/12/2021
13,513,Savings,79607,GBP,Closed,2,6/13/2022
14,711,Checking,83501,USD,Closed,8,10/16/2023
15,921,Checking,145967,GBP,Active,8,8/30/2021
16,536,Business,69463,EUR,Active,12,1/26/2022
17,40,Checking,39759,EUR,Active,15,2/13/2021
18,495,Business,153325,EUR,Closed,9,1/28/2021
19,179,Business,25848,GBP,Active,5,7/20/2021
20,926,Savings,191694,EUR,Active,16,5/2/2022
21,81,Business,155620,GBP,Active,2,1/31/2021
22,830,Business,176474,EUR,Closed,3,10/12/2022
23,965,Checking,43792,EUR,Active,9,5/3/2023
24,118,Checking,179896,GBP,Suspended,12,9/26/2023
25,644,Business,53007,EUR,Suspended,3,10/24/2024
26,913,Business,145966,EUR,Suspended,5,8/18/2023
27,782,Checking,168052,GBP,Closed,13,7/10/2021
28,780,Savings,154643,EUR,Suspended,14,9/2/2023
29,433,Checking,11262,GBP,Suspended,7,1/30/2021
30,612,Business,89836,USD,Suspended,7,10/17/2020
31,402,Checking,76127,EUR,Closed,7,10/10/2024
32,193,Savings,57741,EUR,Closed,5,3/19/2020
33,128,Savings,9982,EUR,Suspended,20,8/17/2023
34,339,Business,130927,EUR,Active,18,8/17/2022
35,1,Checking,153534,GBP,Closed,3,4/23/2022
36,290,Checking,134440,EUR,Active,13,6/25/2025
37,44,Savings,115190,USD,Closed,1,9/1/2025
38,203,Business,32950,GBP,Closed,16,4/18/2021
39,446,Business,104718,USD,Active,7,10/1/2022
40,242,Business,178106,EUR,Active,17,9/25/2021
41,385,Checking,177746,EUR,Active,14,12/29/2021
42,482,Business,22140,USD,Active,12,3/16/2025
