PaymentID,CustomerID,BillerName,Amount,Date,Status
1,859,Chatterbridge,580,5/2/2023,Pending
2,421,Twinder,1326,9/4/2024,Completed
3,844,Aimbo,3857,7/29/2024,Completed
4,181,Twinder,974,8/15/2024,Pending
5,207,Gigashots,2215,3/28/2022,Failed
6,625,Zazio,1099,12/28/2023,Pending
7,530,Cogilith,836,11/14/2022,Failed
8,121,Meevee,2291,10/3/2022,Pending
9,75,Zooxo,2429,6/9/2022,Pending
10,460,Npath,2498,5/16/2024,Pending
11,550,Roodel,2371,4/6/2023,Pending
12,222,Skivee,445,8/21/2021,Completed
13,996,Geba,2458,10/10/2024,Pending
14,14,Devpulse,495,2/5/2025,Pending
15,485,Brightdog,4588,12/28/2025,Completed
16,385,Voonder,2404,9/13/2021,Failed
17,188,Npath,1637,4/23/2024,Failed
18,181,Innotype,196,1/17/2024,Completed
19,564,Fatz,3938,3/2/2021,Failed
20,66,Fivespan,4675,3/10/2021,Completed
21,266,Yata,3036,9/6/2023,Pending
22,962,Eare,4715,9/11/2021,Pending
23,652,Vitz,2702,10/3/2022,Pending
24,627,Dabvine,4539,8/9/2022,Pending
25,839,Buzzbean,4271,6/11/2023,Pending
26,499,Yoveo,249,3/11/2021,Pending
27,957,Eidel,3461,7/17/2021,Failed
28,585,Ozu,4341,10/13/2024,Failed
29,704,Ntags,2721,8/9/2021,Failed
30,744,Agimba,1884,4/22/2021,Pending
31,912,Yacero,2511,3/10/2020,Completed
32,31,Divavu,1662,12/31/2022,Completed
33,769,Feednation,1555,8/2/2024,Completed
34,815,Tazz,2002,8/2/2020,Pending
35,568,Kayveo,1971,10/9/2025,Pending
36,300,Tagfeed,2924,5/16/2023,Completed
37,404,DabZ,431,9/3/2022,Failed
38,248,Voolith,3996,11/28/2025,Failed
39,374,Mynte,2108,7/7/2022,Completed
40,389,Youtags,3548,3/18/2022,Completed
41,6,Jaloo,1042,1/7/2022,Completed
42,715,Quinu,1133,9/27/2021,Pending
43,724,Vinder,2409,11/15/2020,Completed
44,326,Latz,3877,11/19/2025,Failed
45,710,Chatterbridge,3134,8/16/2025,Failed
46,847,Tambee,2382,8/28/2022,Pending
47,994,Tanoodle,1607,8/20/2023,Pending
48,521,Ooba,3130,8/11/2025,Pending
49,308,Fatz,4387,1/13/2020,Failed
50,893,Kwilith,2072,9/19/2025,Completed
51,640,Eabox,1227,6/3/2022,Failed
52,63,LiveZ,2284,7/2/2023,Completed
53,912,Zooxo,1727,8/28/2025,Pending
54,569,Fanoodle,4928,11/2/2022,Failed
55,428,Katz,2087,3/23/2024,Pending
56,312,Mybuzz,3619,6/5/2021,Failed
57,825,Babbleopia,626,6/5/2022,Failed
58,42,Jamia,886,6/28/2024,Completed
59,581,LiveZ,2801,2/15/2021,Failed
60,214,Thoughtbeat,168,6/11/2025,Completed
61,373,Mynte,3110,6/9/2024,Failed
62,464,Innotype,2178,4/26/2022,Failed
63,922,Kazio,3717,8/28/2023,Failed
64,867,Yodoo,2316,1/20/2021,Failed
65,682,Skippad,3949,11/20/2020,Pending
66,987,Tanoodle,3843,2/24/2024,Pending
67,798,Devshare,1238,1/16/2024,Completed
68,824,Bubblemix,760,12/2/2021,Completed
69,992,Tanoodle,2328,8/31/2023,Failed
70,884,Rhycero,411,10/19/2022,Failed
71,95,Centimia,3940,7/31/2020,Completed
72,704,Npath,2203,11/27/2025,Pending
73,327,Skyvu,2703,6/20/2023,Failed
74,473,Voomm,1018,1/27/2022,Pending
75,118,Podcat,905,9/7/2020,Pending
76,897,Tagopia,246,5/20/2020,Pending
77,778,Yodo,2359,8/24/2025,Completed
78,685,Photospace,224,11/24/2024,Pending
79,908,Voonix,4877,7/24/2025,Pending
80,481,Meembee,2897,6/30/2023,Pending
81,963,Feedbug,3366,4/1/2024,Failed
82,887,Youbridge,2121,4/29/2022,Pending
