CardTransID,CardID,Merchant,Amount,Currency,Date,Status
1,166,Blognation,2969,UZS,12/25/2025,Pending
2,134,Realcube,1065,EUR,2/22/2025,Pending
3,333,Livetube,1802,USD,7/15/2025,Failed
4,289,Yadel,4095,EUR,10/23/2025,Failed
5,431,Katz,8003,EUR,3/29/2025,Pending
6,371,Demimbu,2576,EUR,3/21/2025,Failed
7,337,Aibox,5435,UZS,2/6/2025,Pending
8,6,Tagchat,2627,GBP,1/9/2025,Failed
9,63,Skippad,3645,EUR,7/10/2025,Pending
10,214,Shuffletag,7766,USD,12/22/2025,Pending
11,23,Photolist,1947,GBP,12/14/2025,Pending
12,167,Voonyx,4711,GBP,9/28/2025,Failed
13,89,Realbuzz,8395,UZS,1/29/2025,Pending
14,126,Mudo,7079,UZS,6/7/2025,Completed
15,325,Zoonder,1759,USD,3/31/2025,Pending
16,2,Jatri,939,GBP,12/21/2025,Completed
17,35,Thoughtstorm,2522,EUR,5/25/2025,Pending
18,363,Wikido,8197,EUR,9/22/2025,Completed
19,138,Wikizz,6066,GBP,8/1/2025,Completed
20,232,Skajo,4412,EUR,8/1/2025,Pending
21,411,Linkbridge,4510,GBP,3/22/2025,Completed
22,311,Jazzy,1099,EUR,7/8/2025,Pending
23,264,Zava,3875,USD,10/12/2025,Completed
24,439,Jetwire,7559,EUR,8/20/2025,Failed
25,253,Yoveo,3985,USD,3/21/2025,Pending
26,382,Youtags,515,UZS,3/17/2025,Failed
27,300,Zoozzy,8753,USD,4/2/2025,Pending
28,397,Thoughtsphere,9843,GBP,4/7/2025,Completed
29,260,Cogidoo,6983,GBP,4/26/2025,Failed
30,24,Yakijo,5729,GBP,5/20/2025,Completed
31,220,Livetube,6882,GBP,11/3/2025,Pending
32,199,Jaloo,4062,UZS,3/18/2025,Pending
33,282,Divavu,4393,UZS,10/21/2025,Pending
34,100,Bluejam,3961,USD,12/25/2025,Failed
35,100,Livefish,434,USD,2/5/2025,Pending
36,400,Gigabox,4182,GBP,9/8/2025,Completed
37,64,Jabbersphere,4372,EUR,10/10/2025,Pending
38,397,Topdrive,3540,USD,10/4/2025,Failed
