AttendanceID,EmployeeID,CheckInTime,CheckOutTime,TotalHours
1,117,4/27/2020,10/19/2021,4
2,199,7/6/2022,10/9/2020,5
3,52,8/25/2021,3/20/2020,6
4,53,4/10/2024,8/26/2024,10
5,26,7/24/2024,5/14/2025,11
6,13,11/3/2021,9/29/2024,7
7,113,10/25/2025,6/9/2022,11
8,58,7/26/2022,9/8/2025,6
9,176,3/24/2020,4/11/2023,5
10,181,1/21/2024,2/10/2022,10
11,160,11/17/2024,1/15/2025,10
12,84,5/16/2021,4/18/2024,10
13,135,3/6/2022,11/15/2021,4
14,31,7/12/2021,12/6/2021,12
15,40,8/23/2020,1/1/2023,5
16,4,7/30/2025,5/15/2020,11
17,64,10/14/2021,3/30/2025,4
18,52,7/24/2020,5/24/2020,12
19,55,12/13/2021,9/15/2022,7
20,198,5/10/2024,4/21/2021,5
21,72,11/15/2024,9/30/2022,11
22,62,4/25/2023,11/2/2022,6
23,16,11/20/2020,9/12/2023,7
24,120,2/9/2025,9/1/2025,9
25,50,1/23/2021,8/20/2024,12
26,1,9/28/2025,4/29/2023,7
27,176,5/2/2020,10/12/2020,12
28,112,3/25/2023,4/23/2020,12
29,174,7/20/2023,3/9/2022,9
30,164,11/13/2022,11/28/2020,7
31,112,6/21/2023,10/14/2022,10
32,67,9/21/2025,8/23/2022,8
33,55,3/29/2021,4/29/2024,6
34,178,8/5/2024,11/20/2023,5
35,91,1/4/2020,3/2/2022,5
36,24,9/18/2024,10/5/2023,5
37,1,8/18/2023,10/12/2022,10
38,25,5/8/2025,5/12/2020,9
39,79,1/5/2023,2/11/2021,8
40,98,3/27/2025,5/24/2024,12
41,131,12/11/2021,7/24/2022,11
42,8,2/27/2021,4/29/2024,4
43,60,12/28/2023,1/3/2025,4
44,109,9/15/2025,6/16/2020,12
45,179,3/17/2024,1/25/2024,12
46,137,11/28/2022,3/31/2022,12
47,73,6/25/2022,12/22/2025,10
48,61,2/19/2021,11/15/2025,8
49,87,1/22/2024,9/9/2022,12
50,104,12/4/2025,1/6/2021,11
51,194,10/24/2025,9/16/2021,8
52,168,6/27/2021,7/2/2022,5
53,5,8/2/2025,12/8/2020,11
54,78,7/27/2025,1/16/2021,9
55,175,2/17/2020,2/20/2023,10
56,190,5/12/2023,5/17/2024,12
57,87,1/10/2024,3/22/2023,4
58,131,11/4/2024,4/17/2021,9
59,59,4/3/2024,1/9/2024,12
60,134,3/19/2024,2/7/2024,5
61,117,11/30/2023,8/5/2025,12
62,159,9/12/2025,1/28/2024,12
63,124,2/26/2022,3/29/2021,4
64,50,4/13/2025,7/31/2025,6
65,66,9/25/2025,12/10/2021,9
66,23,8/8/2020,9/26/2020,8
67,54,6/18/2021,11/13/2025,9
68,95,3/1/2023,11/22/2023,12
69,136,5/12/2023,11/22/2023,12
70,110,8/15/2023,4/7/2022,10
71,186,7/1/2023,11/13/2022,10
72,139,10/27/2022,1/16/2024,7
73,53,5/13/2023,3/11/2022,11
74,18,11/18/2022,10/5/2020,7
75,90,8/11/2020,6/2/2021,5
76,168,3/25/2022,2/11/2022,7
77,72,3/24/2024,12/19/2021,6
78,188,2/5/2023,6/6/2024,8
79,163,2/16/2025,6/7/2023,5
80,90,10/1/2022,1/24/2022,7
81,130,12/14/2024,1/21/2025,6
82,44,10/29/2022,3/24/2022,9
83,128,4/24/2023,11/22/2025,12
84,5,1/4/2021,4/8/2022,12
85,186,12/24/2020,2/20/2020,11
86,186,12/5/2022,12/6/2022,12
87,57,6/26/2021,5/2/2024,11
