FXID,CustomerID,CurrencyPair,ExchangeRate,AmountExchanged
1,365,USD/GBP,1,3004
2,256,EUR/GBP,1,5244
3,601,USD/GBP,0,7008
4,241,UZS/GBP,1,9820
5,343,UZS/EUR,0,9454
6,661,UZS/EUR,0,8276
7,69,UZS/EUR,0,7661
8,94,EUR/GBP,1,4641
9,53,USD/GBP,0,4503
10,791,USD/GBP,0,8509
11,443,UZS/USD,1,4221
12,65,UZS/USD,0,3633
13,832,UZS/EUR,1,2848
14,17,UZS/GBP,0,2400
15,303,UZS/USD,1,6441
16,784,UZS/GBP,1,5741
17,805,USD/GBP,1,2339
18,375,USD/GBP,0,9338
19,481,USD/GBP,1,187
20,857,UZS/GBP,0,246
21,772,EUR/GBP,1,4598
22,360,UZS/USD,0,6804
23,542,USD/GBP,0,8901
24,532,UZS/EUR,0,5430
25,64,UZS/GBP,0,6224
26,310,USD/EUR,1,2995
27,13,UZS/GBP,1,4491
28,867,UZS/EUR,0,126
29,610,USD/EUR,1,1567
30,203,UZS/USD,0,8368
31,959,UZS/USD,0,4015
32,993,UZS/EUR,0,5110
33,623,UZS/EUR,1,6665
34,971,UZS/USD,1,5438
35,392,UZS/USD,1,8597
36,199,UZS/USD,0,6005
37,10,EUR/GBP,1,9904
38,854,UZS/EUR,1,1736
39,964,UZS/GBP,0,1891
40,953,EUR/GBP,1,8964
41,987,UZS/GBP,1,1780
42,743,UZS/USD,1,8566
43,78,UZS/USD,1,7193
44,675,UZS/GBP,1,7902
45,889,UZS/GBP,1,6195
46,481,USD/GBP,1,9371
47,277,USD/EUR,1,5909
48,226,UZS/EUR,0,3141
49,559,USD/EUR,0,5260
50,105,USD/EUR,1,7563
51,733,USD/EUR,0,9953
52,339,USD/GBP,1,7206
53,888,USD/EUR,0,4356
54,179,UZS/USD,0,2550
55,773,UZS/GBP,1,7309
56,629,UZS/GBP,0,2385
57,958,USD/GBP,0,9185
58,616,UZS/GBP,1,6492
59,831,USD/GBP,0,6776
60,244,UZS/USD,1,3602
61,800,EUR/GBP,1,8928
62,768,UZS/EUR,1,9809
63,654,UZS/EUR,0,5854
64,888,UZS/USD,1,1899
65,701,UZS/GBP,1,1940
66,710,UZS/GBP,0,6079
67,208,EUR/GBP,1,5821
68,317,UZS/EUR,1,7581
69,802,USD/EUR,1,6276
70,963,USD/GBP,1,4699
71,449,UZS/EUR,1,5677
72,417,EUR/GBP,0,1702
73,217,UZS/GBP,1,5931
74,485,UZS/EUR,1,7428
75,456,UZS/GBP,0,9028
76,364,USD/EUR,1,2986
77,454,UZS/USD,0,9643
78,193,EUR/GBP,1,5680
79,694,EUR/GBP,1,6864
80,220,UZS/GBP,1,6344
81,952,USD/GBP,0,3607
82,175,UZS/EUR,1,703
83,653,UZS/EUR,0,7152
84,879,USD/GBP,0,5139
85,253,UZS/GBP,1,7633
86,170,UZS/USD,1,9693
87,963,UZS/EUR,0,6748
88,731,USD/GBP,1,3521
89,637,UZS/GBP,0,5868
90,397,UZS/GBP,0,3253
91,733,USD/EUR,1,103
92,875,UZS/GBP,1,5207
93,437,UZS/GBP,1,5570
94,584,UZS/GBP,0,8570
95,658,USD/EUR,1,5209
96,796,USD/GBP,1,604
97,484,USD/GBP,1,2895
98,480,USD/EUR,1,1585
99,47,UZS/EUR,0,1795
100,504,USD/GBP,0,5097
101,249,UZS/USD,1,6459
102,773,UZS/EUR,1,8794
103,306,UZS/USD,1,3068
