LoanID,CustomerID,LoanType,Amount,InterestRate,StartDate,EndDate,Status
1,647,Business,46714,0,3/19/2022,9/14/2029,Defaulted
2,429,Business,32037,0,8/3/2019,3/7/2026,Paid
3,600,Mortgage,5730,0,7/30/2025,6/10/2020,Active
4,840,Auto,18280,0,8/9/2023,10/3/2028,Active
5,359,Personal,17867,0,8/31/2024,2/24/2025,Paid
6,27,Auto,8039,0,5/15/2024,1/22/2026,Active
7,892,Auto,41965,0,9/23/2018,6/20/2029,Paid
8,995,Mortgage,20479,0,12/14/2024,6/3/2023,Defaulted
9,706,Mortgage,39859,0,10/18/2020,12/16/2023,Active
10,317,Mortgage,43703,0,3/15/2018,7/9/2026,Defaulted
11,696,Auto,7337,0,7/21/2023,2/12/2021,Paid
12,366,Business,29116,0,6/25/2020,8/26/2024,Active
13,211,Auto,25964,0,9/30/2025,3/29/2030,Active
14,726,Auto,39832,0,7/28/2024,8/6/2029,Active
15,173,Personal,20089,0,11/1/2025,4/14/2028,Defaulted
16,789,Business,13516,0,10/29/2024,10/16/2026,Active
17,155,Business,35211,0,3/6/2024,2/22/2030,Active
18,914,Business,45855,0,6/22/2025,3/3/2022,Defaulted
19,368,Auto,6804,0,9/12/2025,2/3/2025,Active
20,927,Auto,25227,0,8/28/2019,4/1/2022,Active
21,653,Auto,41324,0,2/24/2024,8/23/2028,Active
22,856,Auto,22360,0,3/14/2019,11/3/2030,Paid
23,453,Business,9464,0,1/21/2023,8/6/2024,Active
24,426,Mortgage,24210,0,6/29/2020,10/16/2027,Active
25,176,Mortgage,5498,0,3/15/2021,3/27/2026,Active
26,974,Mortgage,10413,0,2/24/2019,5/15/2024,Active
27,530,Personal,19706,0,8/10/2020,11/26/2028,Paid
28,57,Auto,8890,0,10/18/2022,1/21/2026,Active
29,534,Mortgage,10459,0,10/19/2024,10/6/2023,Active
30,517,Personal,34459,0,4/9/2019,6/6/2024,Paid
31,937,Business,14914,0,2/8/2023,1/24/2029,Paid
32,714,Auto,30534,0,11/28/2018,4/15/2023,Defaulted
33,518,Personal,7411,0,11/20/2022,5/12/2022,Active
34,532,Business,17436,0,12/29/2025,4/26/2024,Defaulted
35,27,Business,48207,0,10/26/2023,9/25/2029,Defaulted
36,92,Business,23666,0,10/18/2025,1/12/2030,Paid
37,10,Business,41421,0,12/17/2022,9/10/2028,Active
38,568,Business,32434,0,11/21/2019,8/13/2021,Defaulted
39,881,Personal,5482,0,11/6/2021,7/13/2020,Defaulted
40,535,Business,21503,0,10/1/2022,1/16/2023,Paid
41,826,Mortgage,28364,0,6/9/2020,3/13/2029,Active
42,869,Auto,12488,0,12/10/2025,12/30/2020,Defaulted
43,692,Mortgage,36104,0,2/7/2025,10/9/2021,Paid
44,479,Personal,33163,0,12/23/2025,9/5/2030,Active
45,775,Business,13894,0,5/13/2020,12/6/2026,Paid
46,263,Mortgage,17890,0,1/4/2021,12/8/2027,Paid
47,48,Business,18224,0,5/12/2020,2/20/2025,Paid
48,772,Business,14915,0,9/26/2018,12/6/2030,Defaulted
49,46,Personal,21934,0,11/24/2025,2/5/2026,Defaulted
50,744,Mortgage,40681,0,5/11/2023,12/7/2024,Defaulted
51,556,Business,18430,0,10/24/2025,4/6/2026,Defaulted
52,618,Auto,36814,0,12/9/2024,10/14/2028,Active
53,651,Personal,8235,0,5/11/2020,9/15/2020,Paid
54,369,Business,30760,0,4/23/2019,4/19/2023,Active
55,30,Mortgage,39255,0,1/23/2019,4/13/2026,Paid
56,973,Business,15613,0,2/1/2025,4/4/2029,Active
57,542,Business,38316,0,11/19/2020,11/12/2024,Defaulted
58,925,Personal,46396,0,8/31/2025,5/9/2020,Paid
59,956,Auto,36423,0,12/24/2018,9/28/2020,Defaulted
60,606,Personal,28738,0,7/18/2021,2/14/2020,Paid
61,288,Personal,13960,0,5/26/2023,9/9/2020,Defaulted
62,890,Business,24780,0,9/27/2019,5/13/2027,Defaulted
63,613,Mortgage,49392,0,11/20/2018,7/3/2023,Active
64,307,Auto,9933,0,7/2/2023,12/25/2028,Active
65,745,Auto,46832,0,10/30/2021,10/4/2022,Paid
66,274,Auto,43374,0,10/24/2025,1/29/2024,Defaulted
67,494,Business,32261,0,10/21/2023,4/12/2021,Paid
68,838,Mortgage,47240,0,9/25/2025,9/5/2030,Defaulted
69,251,Personal,49113,0,11/12/2023,4/10/2025,Active
70,106,Personal,36859,0,1/25/2021,10/15/2028,Paid
71,166,Mortgage,23518,0,11/4/2020,5/15/2024,Paid
72,39,Business,13282,0,7/3/2019,7/28/2028,Paid
73,431,Auto,25856,0,5/3/2024,9/25/2026,Defaulted
74,478,Personal,21364,0,11/29/2018,11/17/2029,Paid
75,828,Business,26022,0,2/26/2021,3/20/2025,Defaulted
76,978,Personal,31563,0,8/8/2023,5/12/2027,Active
77,282,Business,41919,0,9/15/2024,2/12/2023,Defaulted
78,481,Auto,42548,0,6/29/2025,1/26/2023,Defaulted
79,687,Mortgage,9016,0,11/28/2021,4/27/2024,Active
80,937,Business,28433,0,10/6/2022,6/18/2026,Active
81,248,Mortgage,28778,0,2/14/2018,10/23/2029,Defaulted
82,374,Mortgage,46630,0,11/11/2023,3/16/2022,Paid
83,542,Personal,16965,0,10/20/2020,2/28/2023,Active
84,800,Business,40660,0,12/31/2024,5/19/2027,Defaulted
85,715,Auto,14373,0,5/26/2018,4/30/2028,Active
86,712,Business,35341,0,6/23/2019,2/9/2028,Defaulted
87,567,Business,30323,0,6/17/2022,1/7/2021,Active
88,353,Auto,22862,0,2/6/2023,9/25/2021,Defaulted
89,249,Mortgage,39983,0,8/23/2018,2/16/2022,Paid
