MerchantTransID,MerchantID,Amount,PaymentMethod,Date
1,13,4534.42,Cash,11/4/2025
2,23,3030.65,MobilePay,8/9/2025
3,9,1602.38,Cash,12/16/2025
4,18,3012.17,Cash,12/22/2025
5,23,4595.55,CreditCard,5/21/2025
6,86,5086.96,CreditCard,7/11/2025
7,36,6553.61,CreditCard,9/1/2025
8,97,4229.57,CreditCard,5/22/2025
9,22,1377.9,CreditCard,2/15/2025
10,86,9091.58,MobilePay,8/30/2025
11,84,4985.35,Cash,7/30/2025
12,78,7015.05,Cash,12/23/2025
13,72,7485.26,MobilePay,10/15/2025
14,60,3293.68,MobilePay,1/8/2025
15,81,1849.9,Cash,6/17/2025
16,64,2881.44,CreditCard,8/20/2025
17,92,6511.83,MobilePay,9/13/2025
18,23,595.35,CreditCard,3/7/2025
19,10,3571.13,Cash,9/2/2025
20,40,9741.47,CreditCard,8/29/2025
21,60,9994.71,MobilePay,2/13/2025
22,36,5189.62,Cash,11/25/2025
23,60,2564.73,CreditCard,8/30/2025
24,87,4333.05,CreditCard,4/8/2025
25,99,2364.23,CreditCard,12/21/2025
26,94,7540.09,Cash,5/29/2025
27,60,4685.5,CreditCard,1/24/2025
28,23,9201.54,MobilePay,11/21/2025
29,37,1986.23,Cash,12/16/2025
30,19,9675.44,Cash,2/13/2025
31,40,4207.51,CreditCard,1/3/2025
32,13,9704.79,MobilePay,4/12/2025
33,7,4101.65,Cash,10/14/2025
34,45,4130.75,CreditCard,6/21/2025
35,40,9851.34,Cash,12/22/2025
36,92,5535.85,MobilePay,12/19/2025
37,32,5898.72,Cash,9/14/2025
38,77,7535.47,MobilePay,10/31/2025
39,34,8908.18,MobilePay,6/27/2025
40,47,7424.94,MobilePay,3/20/2025
41,76,6757.31,MobilePay,11/6/2025
42,67,2525.03,CreditCard,9/8/2025
43,90,5590.89,CreditCard,6/9/2025
44,85,3868.29,CreditCard,8/21/2025
45,2,7527.19,CreditCard,6/25/2025
46,73,5774.1,MobilePay,11/18/2025
47,39,5247.31,CreditCard,10/31/2025
48,44,5365.45,MobilePay,8/27/2025
49,34,5904.94,Cash,5/18/2025
50,13,9094.67,MobilePay,8/28/2025
51,48,2004.12,MobilePay,6/14/2025
52,94,304.41,MobilePay,9/25/2025
53,7,7515.36,MobilePay,11/6/2025
54,56,4211.82,Cash,7/29/2025
55,58,961.13,CreditCard,4/1/2025
56,91,3570.79,MobilePay,3/22/2025
57,25,3991.85,Cash,5/11/2025
58,1,348.43,Cash,3/16/2025
59,28,1050.94,MobilePay,11/6/2025
60,4,432.09,Cash,10/17/2025
61,87,3292.67,CreditCard,7/8/2025
62,39,8348.23,MobilePay,10/31/2025
63,21,3506.16,MobilePay,10/15/2025
64,17,9408.16,CreditCard,12/25/2025
65,21,1207.11,CreditCard,11/4/2025
66,1,4261.67,CreditCard,12/8/2025
67,92,7039.24,CreditCard,4/25/2025
68,14,5420.9,Cash,1/9/2025
69,54,895.17,MobilePay,11/22/2025
70,68,379.38,CreditCard,7/18/2025
71,76,2611.22,MobilePay,12/3/2025
72,4,4286.58,Cash,10/18/2025
73,37,6944.92,MobilePay,3/8/2025
74,23,4278.43,MobilePay,2/21/2025
75,91,5495.59,MobilePay,6/15/2025
76,90,9958.46,MobilePay,9/11/2025
77,90,3840.75,CreditCard,5/10/2025
78,57,6342.11,MobilePay,5/27/2025
79,11,8052.58,MobilePay,4/29/2025
80,53,5277.04,CreditCard,11/7/2025
81,47,5740.71,CreditCard,9/30/2025
82,33,1583.92,MobilePay,1/12/2025
83,80,3634.92,CreditCard,3/30/2025
