MobileTransID,CustomerID,DeviceID,AppVersion,TransactionType,Amount,Date
1,107,Q0G4BYUK,1.1,Deposit,7464,11/23/2025
2,188,15JI6AKE,1.2,Deposit,13927,9/28/2025
3,532,D3ZKHXSU,1.1,Deposit,13609,9/8/2025
4,159,90T15YCO,2,Transfer,6640,6/24/2025
5,928,8J462KD9,1.2,Deposit,11542,2/12/2025
6,189,ST6V4CHO,1,Transfer,7208,8/11/2025
7,880,72RAEPHW,2,Transfer,7903,12/4/2025
8,919,OPYI1ZD0,1.1,Deposit,456,1/22/2025
9,157,LZXWSE41,1.2,Payment,12776,12/8/2025
10,72,0MH3R6WN,1.2,Payment,10153,11/12/2025
11,901,8OCAN1D6,1,Deposit,6211,3/15/2025
12,289,O51F7UJC,1.2,Transfer,13486,10/21/2025
13,112,91UGCIQ7,1.1,Payment,9128,4/9/2025
14,796,6H8IGLND,1.1,Transfer,19926,12/30/2025
15,125,OU2073HL,1.1,Transfer,3759,12/26/2025
16,942,E35GI4TQ,1.1,Deposit,14562,1/6/2025
17,702,5PLGMRIU,1.2,Transfer,10159,8/18/2025
18,943,1N2OUEZT,2,Transfer,1954,2/27/2025
19,285,ES1AYHB2,1,Deposit,12674,7/16/2025
20,771,RJAW6E9N,1,Transfer,4422,10/17/2025
21,909,3J8NXT70,2,Payment,16231,1/27/2025
22,883,G078YV3M,1.2,Transfer,5219,3/10/2025
23,544,5PORTLXG,1.2,Payment,4778,11/4/2025
24,618,CTQF7KSE,2,Transfer,19957,1/20/2025
25,283,F74RZEQS,2,Deposit,2078,1/18/2025
26,899,USDN6FV7,1.1,Deposit,9578,3/3/2025
27,684,1XHPZQ5M,2,Payment,10631,5/23/2025
28,85,VPUF4T1L,1.2,Payment,3634,5/15/2025
29,558,IXLGB90N,1.2,Deposit,16965,5/23/2025
30,814,6H83Z4RO,1.1,Transfer,15768,12/15/2025
31,603,O6PXCJEV,1.2,Deposit,14786,10/23/2025
32,668,OX9YP6A8,1.2,Deposit,2652,5/19/2025
33,659,ZULHXK21,1,Deposit,1013,7/25/2025
34,915,3BXOD7QL,2,Payment,14260,6/3/2025
