TransactionID,AccountID,TransactionType,Amount,Currency,Date,Status,ReferenceNo
1,326,Deposit,1129,UZS,6/26/2025,Completed,WKZ3UDR5GP
2,495,Transfer,11010,UZS,12/23/2025,Pending,C6SY3PO2M1
3,901,Payment,1602,UZS,6/9/2025,Failed,5X8J0LM9F4
4,862,Deposit,1493,UZS,2/22/2025,Pending,B7ROVT0EJU
5,312,Withdrawal,16030,UZS,9/21/2025,Completed,F8OU0VTG9J
6,61,Deposit,611,UZS,8/14/2025,Pending,VGCSH3BXE4
7,449,Deposit,690,EUR,12/24/2025,Failed,TK2XS3BAPV
8,187,Withdrawal,18975,UZS,12/22/2025,Pending,4WUYQJ51GV
9,323,Transfer,19533,GBP,1/22/2025,Failed,K2FJ0PGNSQ
10,853,Payment,11196,GBP,8/24/2025,Failed,7LQ3PZKARI
11,237,Payment,11301,USD,11/29/2025,Failed,DT7KH0Y9GS
12,61,Transfer,18771,GBP,11/1/2025,Pending,FTGMVSOBHJ
13,685,Transfer,18316,USD,9/8/2025,Completed,K6ORP8Z4UB
14,588,Payment,6695,UZS,5/14/2025,Pending,QPAYJRECHN
15,294,Payment,11028,GBP,6/29/2025,Completed,ASZEMVBLPG
16,646,Withdrawal,8137,EUR,8/31/2025,Failed,AFMCX8G0BI
17,670,Withdrawal,5172,GBP,3/21/2025,Completed,H36K9P2MRJ
18,232,Withdrawal,19602,GBP,6/9/2025,Pending,CPW6T3ZRV8
19,627,Withdrawal,16814,GBP,10/6/2025,Completed,F7HO6JG3ZY
20,703,Deposit,19913,GBP,1/2/2025,Completed,7DZ21Y0GXR
21,237,Transfer,11886,GBP,8/18/2025,Failed,CBW3KQMF1R
22,23,Withdrawal,7316,GBP,5/18/2025,Completed,DXSKYAN3TJ
23,539,Deposit,4385,USD,12/18/2025,Completed,LNEXGCKUY9
24,63,Withdrawal,16492,UZS,1/20/2025,Completed,ZF91DQHVJ6
25,989,Withdrawal,14028,UZS,10/12/2025,Failed,IGK5AN7HL8
26,493,Payment,3822,UZS,4/15/2025,Pending,OZ543HQ0IR
27,966,Transfer,19167,GBP,2/21/2025,Pending,IQPL0Z5TCU
28,583,Withdrawal,15366,UZS,1/28/2025,Failed,4A8MHGSYIE
29,174,Payment,1498,EUR,1/1/2025,Pending,63S078YW2C
30,184,Transfer,19615,UZS,8/21/2025,Completed,PDA20CFB4N
