TransactionID,AccountID,TransactionType,Amount,Currency,Date,Status,ReferenceNo
1,2108,Withdrawal,9627.88,USD,4/2/2025,Pending,UZRL0QF96K
2,360,Payment,15540.07,UZS,6/4/2025,Completed,M5FOPGKXQ0
3,432,Deposit,11548.95,EUR,4/9/2025,Pending,NRM7EZJY98
4,1892,Payment,154.16,EUR,5/10/2025,Failed,2JTAOFZQ04
5,321,Deposit,7554.78,GBP,11/22/2025,Completed,TBJ1G2RS4W
6,1856,Payment,9150.65,EUR,1/17/2025,Failed,A17G8RX9YU
7,818,Payment,19266.24,UZS,8/10/2025,Completed,ZV2JYQDKIL
8,475,Payment,11735.17,UZS,2/14/2025,Completed,RMO6T9CY5B
9,580,Payment,12052,GBP,8/25/2025,Completed,4XI83P0BOC
10,1282,Deposit,12898.34,EUR,7/8/2025,Failed,GAW1SUOKEJ
11,1611,Withdrawal,16170.65,EUR,4/4/2025,Failed,P79A0BINOH
12,1976,Deposit,15660.86,GBP,6/12/2025,Failed,R8I73S4TL2
13,1085,Payment,19558.01,UZS,10/18/2025,Completed,U38PF5Q46J
14,1901,Transfer,15802.74,UZS,3/14/2025,Pending,54A9DCF17Y
15,1301,Payment,15932.97,EUR,1/4/2025,Failed,PNVO3CJBE7
16,1004,Transfer,13075.76,EUR,8/8/2025,Failed,04AQNE9I8S
17,2510,Transfer,16187.44,USD,9/26/2025,Failed,LA6IZ0JRYH
18,2147,Payment,8410.47,UZS,1/18/2025,Pending,13PDML2NTS
19,2088,Deposit,13071.4,UZS,3/31/2025,Failed,XELIOQ6N8K
20,2531,Withdrawal,12736.52,GBP,1/24/2025,Completed,PFCJE8XMD9
21,2084,Payment,9557.35,EUR,11/17/2025,Completed,TUJ4DYOFR1
22,1703,Deposit,3097.11,EUR,1/14/2025,Completed,LEUDTM7ZNO
23,2024,Transfer,2226.23,GBP,11/30/2025,Failed,QH3CBAR74M
24,2187,Withdrawal,9394.7,UZS,3/31/2025,Completed,5GNJ9BEADZ
25,796,Deposit,19472.87,UZS,10/5/2025,Completed,D235BG6V4N
26,969,Deposit,9383.9,USD,11/11/2025,Pending,HR6M7GB0QO
27,512,Payment,13477.9,UZS,3/17/2025,Completed,6AQ8GZPJTW
28,2170,Withdrawal,6532.11,UZS,6/25/2025,Pending,C7BD2TM1H0
29,1653,Transfer,3490.4,EUR,1/17/2025,Pending,1A5QTXYRWC
30,736,Transfer,760.24,USD,2/6/2025,Failed,I7UW0XAGNM
31,2540,Transfer,8031.34,UZS,5/2/2025,Failed,EB4XCWTL83
32,2466,Deposit,10474.5,USD,8/15/2025,Failed,QYZU3CH0X4
33,1712,Deposit,1746.98,GBP,10/16/2025,Completed,AN6897DHFU
34,2019,Transfer,17599.64,UZS,2/14/2025,Pending,1E3RCPNLVF
35,1147,Withdrawal,6241.92,EUR,10/13/2025,Pending,4CTPV63DFW
36,1876,Transfer,9561.31,GBP,12/15/2025,Pending,NVR1T6Q3GA
37,1787,Deposit,18933.81,EUR,7/3/2025,Failed,FGEY1Q6BL7
38,718,Transfer,13570.72,USD,8/31/2025,Completed,WJ2G4P7X3K
39,418,Payment,298.12,EUR,10/12/2025,Pending,709K3HJ1WQ
40,148,Withdrawal,4524.23,USD,1/25/2025,Completed,E5IQPXMZCY
41,2091,Payment,17935.8,EUR,4/25/2025,Completed,0IDEN12KB9
42,1504,Withdrawal,2304.59,UZS,8/12/2025,Completed,XCFREIKQAU
43,1101,Withdrawal,5028.45,EUR,12/29/2025,Completed,EVK6JSUL1O
44,717,Payment,11820.43,UZS,7/25/2025,Failed,IMZNJYBLOR
45,428,Payment,19554.41,USD,3/1/2025,Failed,URNMDC31A6
46,1577,Deposit,5738.12,USD,5/1/2025,Completed,PQGF28EOI9
47,1341,Payment,12911.32,UZS,3/29/2025,Pending,9SDF416CNE
48,1190,Transfer,668.74,UZS,12/10/2025,Pending,F8O0E497UM
49,109,Withdrawal,3692.17,USD,12/1/2025,Pending,H8QAO50YJE
50,2369,Transfer,3867.91,GBP,5/31/2025,Failed,DKJ14ZPW9B
51,812,Transfer,2307.9,EUR,1/19/2025,Failed,ULCS16P83T
52,985,Withdrawal,2616.18,GBP,5/26/2025,Completed,8RVLAWZGHB
53,1184,Payment,7423.36,UZS,1/24/2025,Failed,QFSMK9ZNV2
54,1681,Withdrawal,12278.26,EUR,6/6/2025,Completed,CK126XWSB8
55,1703,Deposit,1183.08,USD,5/26/2025,Pending,ZVF7KY4ANW
56,2401,Transfer,14464.33,UZS,4/8/2025,Pending,HW1E4I6C08
57,355,Transfer,1354.98,GBP,8/29/2025,Pending,M7W2GTPZK9
58,174,Deposit,11821.15,UZS,9/26/2025,Failed,TPO3L59D01
59,1124,Withdrawal,16829.2,EUR,10/23/2025,Completed,4ETMBPAIGK
60,288,Payment,17559.91,EUR,3/17/2025,Failed,W25H9CLTE0
61,2373,Deposit,7328.35,USD,11/8/2025,Completed,B3KFAVRG6Y
62,2348,Withdrawal,14509.17,USD,7/6/2025,Pending,EU1JGX723O
63,3,Payment,2578.57,GBP,4/4/2025,Failed,VKUEL0CT32
